Date,Average Price
2023-10-06,2127
2023-10-07,2128
2023-10-08,2126
2023-10-09,2145
2023-10-10,2145
2023-10-11,2145
2023-10-12,2145
2023-10-13,2145
2023-10-14,2145
2023-10-15,2145
2023-10-16,2145
2023-10-17,2145
2023-10-18,2145
2023-10-19,2145
2023-10-20,2145
2023-10-21,2145
2023-10-22,2145
2023-10-23,2121
2023-10-24,2121
2023-10-25,2119
2023-10-26,2119
2023-10-27,2119
2023-10-28,2119
2023-10-29,2128
2023-10-30,2126
2023-10-31,2133
2023-11-01,2133
2023-11-02,2136
2023-11-03,2140
2023-11-04,2153
2023-11-05,2141
2023-11-06,2138
2023-11-07,2143
2023-11-08,2141
2023-11-09,2135
2023-11-10,2128
2023-11-11,2126
2023-11-12,2126
2023-11-13,2124
2023-11-14,2119
2023-11-15,2122
2023-11-16,2121
2023-11-17,2122
2023-11-18,2119
2023-11-19,2119
2023-11-20,2120
2023-11-21,2117
2023-11-22,2119
2023-11-23,2118
2023-11-24,2116
2023-11-25,2111
2023-11-26,2108
2023-11-27,2106
2023-11-28,2105
2023-11-29,2101
2023-11-30,2105
2023-12-01,2109
2023-12-02,2130
2023-12-03,2128
2023-12-04,2129
2023-12-05,2129
2023-12-06,2128
2023-12-07,2125
2023-12-08,2125
2023-12-09,2125
2023-12-10,2126
2023-12-11,2127
2023-12-12,2125
2023-12-13,2129
2023-12-14,2131
2023-12-15,2134
2023-12-16,2135
2023-12-17,2137
2023-12-18,2136
2023-12-19,2132
2023-12-20,2128
2023-12-21,2134
2023-12-22,2136
2023-12-23,2140
2023-12-24,2142
2023-12-25,2144
2023-12-26,2145
2023-12-27,2144
2023-12-28,2148
2023-12-29,2154
2023-12-30,2163
2023-12-31,2164
2024-01-01,2167
2024-01-02,2170
2024-01-03,2171
2024-01-04,2176
2024-01-05,2172
2024-01-06,2179
2024-01-07,2180
2024-01-08,2177
2024-01-09,2181
2024-01-10,2179
2024-01-11,2176
2024-01-12,2182
2024-01-13,2182
2024-01-14,2186
2024-01-15,2190
2024-01-16,2193
2024-01-17,2201
2024-01-18,2199
2024-01-19,2198
2024-01-20,2198
2024-01-21,2199
2024-01-22,2203
2024-01-23,2198
2024-01-24,2196
2024-01-25,2202
2024-01-26,2199
2024-01-27,2202
2024-01-28,2209
2024-01-29,2206
2024-01-30,2204
2024-01-31,2206
2024-02-01,2213
2024-02-02,2212
2024-02-03,2221
2024-02-04,2221
2024-02-05,2222
2024-02-06,2225
2024-02-07,2231
2024-02-08,2240
2024-02-09,2260
2024-02-10,2263
2024-02-11,2262
2024-02-12,2261
2024-02-13,2262
2024-02-14,2269
2024-02-15,2272
2024-02-16,2276
2024-02-17,2277
2024-02-18,2276
2024-02-19,2276
2024-02-20,2282
2024-02-21,2283
2024-02-22,2282
2024-02-23,2289
2024-02-24,2288
2024-02-25,2287
2024-02-26,2291
2024-02-27,2302
2024-02-28,2310
2024-02-29,2322
2024-03-01,2330
2024-03-02,2308
2024-03-03,2310
2024-03-04,2317
2024-03-05,2321
2024-03-06,2326
2024-03-07,2325
2024-03-08,2317
2024-03-09,2319
2024-03-10,2319
2024-03-11,2320
2024-03-12,2325
2024-03-13,2327
2024-03-14,2331
2024-03-15,2324
2024-03-16,2326
2024-03-17,2328
2024-03-18,2327
2024-03-19,2306
2024-03-20,2306
2024-03-21,2304
2024-03-22,2306
2024-03-23,2306
2024-03-24,2308
2024-03-25,2248
2024-03-26,2252
2024-03-27,2252
2024-03-28,2254
2024-03-29,2256
2024-03-30,2258
2024-03-31,2259
2024-04-01,2257
2024-04-02,2260
2024-04-03,2261
2024-04-04,2263
2024-04-05,2265
2024-04-06,2261
2024-04-07,2262
2024-04-08,2263
2024-04-09,2261
2024-04-10,2253
2024-04-11,2243
2024-04-12,2253
2024-04-13,2250
2024-04-14,2253
2024-04-15,2255
2024-04-16,2252
2024-04-17,2253
2024-04-18,2261
2024-04-19,2261
2024-04-20,2259
2024-04-21,2280
2024-04-22,2274
2024-04-23,2283
2024-04-24,2267
2024-04-25,2275
2024-04-26,2287
2024-04-27,2291
2024-04-28,2296
2024-04-29,2286
2024-04-30,2306
2024-05-01,2323
2024-05-02,2345
2024-05-03,2350
2024-05-04,2343
2024-05-05,2367
2024-05-06,2363
2024-05-07,2355
2024-05-08,2368
2024-05-09,2362
2024-05-10,2375
2024-05-11,2391
2024-05-12,2385
2024-05-13,2388
